stock,start_date,end_date,yield,volatility,idiosyncratic_volatility
000423.SZ,2019/12/31,2020/3/31,-72.5397,39.0521,0.0167
000423.SZ,2020/3/31,2020/6/30,293.8897,43.0322,0.0265
000423.SZ,2020/6/30,2020/9/30,48.518,43.0566,0.0232
000425.SZ,2019/9/30,2019/12/31,123.6837,24.5953,0.0143
000425.SZ,2019/12/31,2020/3/31,-29.267,47.9683,0.0190
000425.SZ,2020/3/31,2020/6/30,78.8964,37.1512,0.0209
000425.SZ,2020/6/30,2020/9/30,-15.3883,39.2257,0.0181
000429.SZ,2019/9/30,2019/12/31,34.827,10.6811,0.0068
000429.SZ,2019/12/31,2020/3/31,-54.9568,23.3872,0.0114
000429.SZ,2020/3/31,2020/6/30,13.5528,21.4767,0.0131
000429.SZ,2020/6/30,2020/9/30,14.9541,22.7607,0.0105
000488.SZ,2019/9/30,2019/12/31,31.0335,19.7654,0.0091
000488.SZ,2019/12/31,2020/3/31,-25.2604,36.5006,0.0140
000488.SZ,2020/3/31,2020/6/30,35.8239,21.3078,0.0134
000488.SZ,2020/6/30,2020/9/30,34.5133,38.1744,0.0182
000498.SZ,2019/9/30,2019/12/31,-11.9452,15.4876,0.0079
000498.SZ,2019/12/31,2020/3/31,95.9448,58.4613,0.0282
000498.SZ,2020/3/31,2020/6/30,-38.0311,31.5903,0.0175
000498.SZ,2020/6/30,2020/9/30,24.2506,36.7346,0.0188
0005.HK,2019/9/30,2019/12/31,12.3082,15.1082,0.0083
0005.HK,2019/12/31,2020/3/31,-68.5788,26.7939,0.0146
0005.HK,2020/3/31,2020/6/30,-57.0883,38.7234,0.0206
0005.HK,2020/6/30,2020/9/30,-51.3835,34.8969,0.0218
000501.SZ,2019/9/30,2019/12/31,210.1135,22.696,0.0141
000501.SZ,2019/12/31,2020/3/31,-49.5231,51.3006,0.0231
000501.SZ,2020/3/31,2020/6/30,280.3619,49.1939,0.0305
000501.SZ,2020/6/30,2020/9/30,15.1778,86.1662,0.0521
000505.SZ,2019/9/30,2019/12/31,-1.453,32.9373,0.0196
000505.SZ,2019/12/31,2020/3/31,339.6917,60.7279,0.0340
000505.SZ,2020/3/31,2020/6/30,43.7695,75.1918,0.0470
000505.SZ,2020/6/30,2020/9/30,165.4769,75.8209,0.0460
000513.SZ,2019/9/30,2019/12/31,173.8435,35.2668,0.0215
000513.SZ,2019/12/31,2020/3/31,112.7387,43.8198,0.0230
000513.SZ,2020/3/31,2020/6/30,170.2679,34.3276,0.0203
000513.SZ,2020/6/30,2020/9/30,0.8385,47.5033,0.0270
000516.SZ,2019/9/30,2019/12/31,0,21.5112,0.0117
000516.SZ,2019/12/31,2020/3/31,-35.6854,42.1036,0.0220
000516.SZ,2020/3/31,2020/6/30,-15.7453,17.6329,0.0100
000516.SZ,2020/6/30,2020/9/30,549.3508,65.1125,0.0343
000520.SZ,2019/9/30,2019/12/31,10.1531,23.1768,0.0143
000520.SZ,2019/12/31,2020/3/31,-37.5807,46.5541,0.0257
000520.SZ,2020/3/31,2020/6/30,-8.6827,22.6087,0.0134
000520.SZ,2020/6/30,2020/9/30,-21.616,21.6348,0.0100
000526.SZ,2019/9/30,2019/12/31,77.629,49.2565,0.0294
000526.SZ,2019/12/31,2020/3/31,195.1307,67.4128,0.0398
000526.SZ,2020/3/31,2020/6/30,338.4366,50.6223,0.0299
000526.SZ,2020/6/30,2020/9/30,-4.3681,71.1646,0.0413
000528.SZ,2019/9/30,2019/12/31,57.5617,16.3405,0.0087
000528.SZ,2019/12/31,2020/3/31,-34.2032,39.4219,0.0124
000528.SZ,2020/3/31,2020/6/30,14.6241,25.2232,0.0142
000528.SZ,2020/6/30,2020/9/30,56.6352,35.0972,0.0154
000529.SZ,2019/9/30,2019/12/31,63.9036,41.7332,0.0264
000529.SZ,2019/12/31,2020/3/31,9.0603,44.5743,0.0168
000529.SZ,2020/3/31,2020/6/30,60.4976,34.1305,0.0205
000529.SZ,2020/6/30,2020/9/30,27.9243,42.3731,0.0204
000537.SZ,2019/9/30,2019/12/31,107.9349,35.331,0.0196
000537.SZ,2019/12/31,2020/3/31,-51.3787,40.7994,0.0183
000537.SZ,2020/3/31,2020/6/30,47.4874,20.8998,0.0121
000537.SZ,2020/6/30,2020/9/30,-14.3166,38.0665,0.0220
000538.SZ,2019/9/30,2019/12/31,88.1009,35.1029,0.0212
000538.SZ,2019/12/31,2020/3/31,-11.7023,32.8967,0.0156
000538.SZ,2020/3/31,2020/6/30,105.6927,26.2089,0.0160
000538.SZ,2020/6/30,2020/9/30,32.7782,45.1195,0.0234
000546.SZ,2019/9/30,2019/12/31,15.2819,28.0598,0.0171
000546.SZ,2019/12/31,2020/3/31,-59.9677,38.1687,0.0168
000546.SZ,2020/3/31,2020/6/30,132.9826,50.5448,0.0318
000546.SZ,2020/6/30,2020/9/30,-30.1966,37.5731,0.0202
000547.SZ,2019/9/30,2019/12/31,-15.9491,24.9987,0.0138
000547.SZ,2019/12/31,2020/3/31,202.2384,67.1781,0.0307
000547.SZ,2020/3/31,2020/6/30,5.1027,41.2841,0.0232
000547.SZ,2020/6/30,2020/9/30,497.084,63.2976,0.0327
000550.SZ,2019/9/30,2019/12/31,-55.8297,30.2708,0.0182
000550.SZ,2019/12/31,2020/3/31,-51.3425,49.1166,0.0193
000550.SZ,2020/3/31,2020/6/30,19.1757,36.3541,0.0220
000550.SZ,2020/6/30,2020/9/30,220.4781,49.298,0.0260
000553.SZ,2019/9/30,2019/12/31,44.3418,21.93,0.0131
000553.SZ,2019/12/31,2020/3/31,48.2853,53.5524,0.0294
000553.SZ,2020/3/31,2020/6/30,-47.2882,34.1674,0.0208
000553.SZ,2020/6/30,2020/9/30,-22.9243,23.6848,0.0101
000554.SZ,2019/9/30,2019/12/31,-7.8233,18.149,0.0089
000554.SZ,2019/12/31,2020/3/31,-25.0234,50.8026,0.0279
000554.SZ,2020/3/31,2020/6/30,21.4417,52.8977,0.0271
000554.SZ,2020/6/30,2020/9/30,-2.4171,31.0853,0.0120
000555.SZ,2019/9/30,2019/12/31,90.0367,57.4084,0.0332
000555.SZ,2019/12/31,2020/3/31,22.8098,62.8226,0.0295
000555.SZ,2020/3/31,2020/6/30,34.6219,43.6121,0.0213
000555.SZ,2020/6/30,2020/9/30,47.0369,49.4999,0.0250
000560.SZ,2019/9/30,2019/12/31,-7.1476,21.1857,0.0124
000560.SZ,2019/12/31,2020/3/31,-67.5209,40.363,0.0162
000560.SZ,2020/3/31,2020/6/30,-13.1356,33.0498,0.0185
000560.SZ,2020/6/30,2020/9/30,88.7091,54.5919,0.0317
000568.SZ,2019/9/30,2019/12/31,-2.4731,24.8295,0.0144
000568.SZ,2019/12/31,2020/3/31,-47.4578,48.6862,0.0176
000568.SZ,2020/3/31,2020/6/30,168.1854,33.3296,0.0193
000568.SZ,2020/6/30,2020/9/30,476.8725,49.4626,0.0280
000573.SZ,2019/9/30,2019/12/31,38.5438,27.3537,0.0159
000573.SZ,2019/12/31,2020/3/31,-40.1247,38.5244,0.0145
000573.SZ,2020/3/31,2020/6/30,-8.7883,17.6898,0.0084
000573.SZ,2020/6/30,2020/9/30,69.551,56.5314,0.0310
000581.SZ,2019/9/30,2019/12/31,78.5079,20.6386,0.0114
000581.SZ,2019/12/31,2020/3/31,4.1159,43.9465,0.0159
000581.SZ,2020/3/31,2020/6/30,72.7998,36.8287,0.0225
000581.SZ,2020/6/30,2020/9/30,107.131,37.5049,0.0166
000582.SZ,2019/9/30,2019/12/31,11.0685,24.8278,0.0141
000582.SZ,2019/12/31,2020/3/31,22.8512,38.6916,0.0162
000582.SZ,2020/3/31,2020/6/30,112.046,37.5613,0.0230
000582.SZ,2020/6/30,2020/9/30,-32.9445,40.6145,0.0220
000589.SZ,2019/9/30,2019/12/31,19.349,24.609,0.0137
000589.SZ,2019/12/31,2020/3/31,-52.0462,35.7985,0.0114
000589.SZ,2020/3/31,2020/6/30,7.5741,16.0169,0.0087
000589.SZ,2020/6/30,2020/9/30,315.7733,42.5479,0.0250
000590.SZ,2019/9/30,2019/12/31,55.4816,41.9832,0.0265
000590.SZ,2019/12/31,2020/3/31,-36.9026,49.1939,0.0279
000590.SZ,2020/3/31,2020/6/30,-23.0208,30.562,0.0187
000590.SZ,2020/6/30,2020/9/30,-10.172,46.6023,0.0270
000591.SZ,2019/9/30,2019/12/31,87.9051,31.7627,0.0191
000591.SZ,2019/12/31,2020/3/31,-39.025,47.9854,0.0192
000591.SZ,2020/3/31,2020/6/30,17.7531,20.1544,0.0092
000591.SZ,2020/6/30,2020/9/30,268.5449,57.8672,0.0317
000596.SZ,2019/9/30,2019/12/31,81.6353,39.2074,0.0223
000596.SZ,2019/12/31,2020/3/31,-50.0924,49.9424,0.0229
000596.SZ,2020/3/31,2020/6/30,229.4959,27.7782,0.0172
000596.SZ,2020/6/30,2020/9/30,308.4444,56.7637,0.0339
000597.SZ,2019/9/30,2019/12/31,-18.991,28.2327,0.0161
000597.SZ,2019/12/31,2020/3/31,49.0794,65.335,0.0410
000597.SZ,2020/3/31,2020/6/30,-2.2077,29.0875,0.0180
000597.SZ,2020/6/30,2020/9/30,46.2646,35.2544,0.0208
000598.SZ,2019/9/30,2019/12/31,-3.4092,16.5991,0.0097
000598.SZ,2019/12/31,2020/3/31,-3.6253,37.0581,0.0166
000598.SZ,2020/3/31,2020/6/30,4.6964,18.3625,0.0112
000598.SZ,2020/6/30,2020/9/30,58.2086,25.145,0.0120
0006.HK,2019/9/30,2019/12/31,42.8595,14.1246,0.0083
0006.HK,2019/12/31,2020/3/31,-57.6355,33.0941,0.0196
0006.HK,2020/3/31,2020/6/30,-14.2824,26.1275,0.0118
0006.HK,2020/6/30,2020/9/30,-12.4612,14.4679,0.0089
000600.SZ,2019/9/30,2019/12/31,-33.9616,25.0709,0.0113
000600.SZ,2019/12/31,2020/3/31,-39.0936,42.1558,0.0195
000600.SZ,2020/3/31,2020/6/30,98.3867,29.0282,0.0151
000600.SZ,2020/6/30,2020/9/30,2.271,34.4741,0.0152
000603.SZ,2019/9/30,2019/12/31,58.5927,42.7411,0.0264
000603.SZ,2019/12/31,2020/3/31,-67.2053,61.1395,0.0315
000603.SZ,2020/3/31,2020/6/30,43.1728,57.1477,0.0313
000603.SZ,2020/6/30,2020/9/30,114.6934,73.0468,0.0399
000617.SZ,2019/9/30,2019/12/31,-4.5074,21.6686,0.0110
000617.SZ,2019/12/31,2020/3/31,-60.2273,39.7563,0.0140
000617.SZ,2020/3/31,2020/6/30,36.0508,24.4198,0.0126
000617.SZ,2020/6/30,2020/9/30,-14.2543,39.9351,0.0185
000623.SZ,2019/9/30,2019/12/31,28.6115,16.937,0.0057
000623.SZ,2019/12/31,2020/3/31,-19.1226,42.2538,0.0163
000623.SZ,2020/3/31,2020/6/30,-2.8619,15.6065,0.0069
000623.SZ,2020/6/30,2020/9/30,41.1099,36.5239,0.0116
000625.SZ,2019/9/30,2019/12/31,242.693,39.4309,0.0242
000625.SZ,2019/12/31,2020/3/31,37.1446,68.235,0.0292
000625.SZ,2020/3/31,2020/6/30,12.6495,41.1282,0.0252
000625.SZ,2020/6/30,2020/9/30,97.5576,48.3734,0.0266
000631.SZ,2019/9/30,2019/12/31,53.8336,22.0174,0.0121
000631.SZ,2019/12/31,2020/3/31,-1.448,37.8634,0.0167
000631.SZ,2020/3/31,2020/6/30,22.1002,20.8162,0.0131
000631.SZ,2020/6/30,2020/9/30,-26.0529,20.3208,0.0088
000636.SZ,2019/9/30,2019/12/31,17.7067,46.593,0.0276
000636.SZ,2019/12/31,2020/3/31,36.3452,87.4453,0.0475
000636.SZ,2020/3/31,2020/6/30,1007.63,64.6171,0.0374
000636.SZ,2020/6/30,2020/9/30,-26.2766,55.6818,0.0296
000650.SZ,2019/9/30,2019/12/31,-20.0191,25.4534,0.0129
